Ulasan;produk;;;;;;;;;;;
Dicas bukan makin nambah malah makin berkurang harus bagaimana ya;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X15;;;;;;;;;;;
Kalau ga niat jualan gausah jualan barang rusak dijual di ces bluetooth kaga ngisi apaan pantes harga murah barang murahan ini sudah ada buktinya pertama buka;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X16;;;;;;;;;;;
Ga bisa nyala dan ga bisa di cas sudah percaya beli malah mengecewakan datangnya juga lama pengemasan lama 2 hari baru di kasih ke ekpedisi;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X17;;;;;;;;;;;
Maaf kak ini maksudnya gimana ya?;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X18;;;;;;;;;;;
Barang sudah sampai; kotak aman packingan rapih sampai susah buka. Barangnya pun keliatan bagus; tapi waktu di charge daya gak masuk.;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X19;;;;;;;;;
Sudah dapat menggunakan sim card.;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Di fotonya sudah medukug youtue.;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Ternyata setelah sampai; barang dan appya tetap sama dengan produk lawas;...;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;
Tidak bisa semua foto tidak bisa kartu SIM tidak bisa 0000000;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Pas datang barang ga di Peking dengan aman; dan pas di buka barang malah copot;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
misi Jam nya kok mati ya udah dicas dri td ga mau hidup;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Satunya ga mau nyala gimna ini udah beli 2 satunya ga nyala sedih banget🙂;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Performa: Kurang baik;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Kualitas pengerjaan: Kurang baik;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Performa sistem: Kurang baik;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Ka ini Giman!;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Alacas nya juga gak bisa Sma jam nya?;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Cuma kuat 3 hari casan nyah udah rusak;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Ke kuatan batu gk sampe se hari;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Barang nya tombol samping ga berfungsi baru semggu lebih;kecewa bnget;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Gak jalan gak hidup di cas gak bisa asuuuuuu;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
pas paketnya datang batrenya berbau gosong  sama layarnya kebuka;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Ngk sesuai warna jam nya sama tali nya.tali warna pink jam nya warna orange;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
GK sesuai iklan ternyata GK ada layanan WiFi;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
baru beli tapi susah ngegesernya;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Kecewa pas d buka trnyata rusak;gmn ne ap bs d tykar;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
jangan mau belanja ti toko ini;saya beli jam yang d kirim jam rusak yang udah ada garis 3 di layarnyaaa;penipuan katanya mau di kirim ulang barang tanp pengembaliann bara...;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;
Saya kira sudah bisa di pakai foto dan sudah ada SIM nya ternyata gak bisa;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Batrenya boros banget sumpah;tampilannya si mantap.; tggl sama waktu gak bisa otomatis berubah saat jamnya mati.;; di rewiwnya pada bagus uda sampek gak sesuai bget...had...;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;
pakai mandi;" selesai mandi ada garis"" di smartwatch nya katanya anti air";" mana gamenya hanya satu mobil"" aja";nggak ada lecet;jatuh;"garis""nya itu kayak kena LC...";"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;
Ga sesuai batre nya cepet abis;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Baru pake udah abis;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Tidak sesuai dengan iklan ktnya pakek kartu TPI mana di iklan pakek kartu mengecwakan mana dtngnya lambat sekali;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Performa sistem: Batre nya cepat lowbat; suara nya jelek;getar nya GK ada; hemmmm;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;
Taiii!!! Yg bner klo jual tonbol di klik ga balik lagi susah nyala!!!!!!! Gw beli bukan MINTA!!!;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Jam tngannya nggak nyala sama Skali;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Keterangan nya ada SIM card tapi pas nyampek gak ada;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Nipu banget sih;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Baru 2 hari datang sudah tidak bisa di charger d suruh nunggu sampe 3 jam ttp ga mengisi daya.;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
pesan variasi starlight dikirim yg white; udh contac seller dan mereka mau ngirimin ganti talinya aja; sedangkan jam nya aja jelas beda; ditombol button nya untuk variasi...;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;
Pesan nya saya strap nya starlight malah yang dateng strap nya putih; mohon minta dikirim strap nya dong yang warna starlight 🙏🙏;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Saya dh bayar mahal; belih jam di tokoh ini;tpi mlah barang nya rusak; klau mau jualan itu Mbah; jgn jual yg rusak itu namanya penipuan Cousamer;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;
Yg hitam ada garis bercak nya; yg starlight punya adikku gak bergetar sama sekali ada notif apapun... Gak ngerti lagi;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Aku kira X 10 pro max yg datang ternyata S 10 pro max;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Apa sih ini baru aja dipake 2 hari aja lem nya udah ga nempel;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Barang bagus sih tpi kaya nya ga sesuay barng nya ga kaya yg lain;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Jam tangan begitu sampai tidak bisa menyala;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Batre cepat habis baru makai 2 jam sudah habis dari penuh;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Jm nya GK nyala ketipu aku😭bli mahal mahal pas di nyalain GK nyala korban iklan aku 😭😭😭😭😭😭;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Cas pul batu stngah jam aja udh lobet matiii;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Gimana sih gampang habiss mau d pke udah mati jngan beli d toko ini ..gays nanti kalian menyesal kaya sayah .. i u sayah ca...;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Barang ok tp sayang penjepit talinya gk ada;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Maaf saya beri bintang satu ; karena tidak mau nyala;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Katanya bisa buat bls wa ternyata tidak... Danbatre cepat habis hanya notis aj;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Pesanan SDH sampai tp kecewa jam nya biasa gak ada tempat kartu nya;sementara yg di ada ada tempat kartu d memori nya;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Ini di mana tempat buat masukan SIM card nya;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Look lumayan;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Batre sangat boros 1jam pemakaian hbis;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
"Selller 👎 ditanya muter"" jawabnya";"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
No rekomend;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Saya order blue & starlight; kenapa yang datang blue & WHITE. Gimana ini? Tolong dong saya mau ganti; mana beda lagi spek jamnya. Apa ini amanah?;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;
Kok tidak ada sim card... sy minta yg ada sim card;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Tali yg item mau putus kecewa kaya kena pisau gitu;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
barang sudah sampai;barang sangat bagus;keren;tapi sayang gak sesuai di iklan;plasystore;YouTube;tiktok;gak ada;sy harap tolong di kondisikan;supaya tokonya jualannya lan...;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;
Smartwatch nya tidak bisa menyambungkan notifikasi sama sekali saya ingin di ganti dengan produk laxasfit yang s10 promax. Terimakasih;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Tak sesuai dengan iklan nya tali nya cuman satu;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Semua tidak berfungsi dengan baik;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Jam tidak mau nyala;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Yg datang beda warna;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Pesan black yg dtg pink;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Di cas juga gak mau;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Pernah beli x 10 pro max ga kayak gini woiii;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Bahannya dof silver ini kok kinclong hhhh kecewaaaaa;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Kecewa . G guna . G bisa pakai kartu  . G bisa buat qpa2cuma mahal;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Pemakaian beberapa hari layarnya sdh begini; padahl tidak jatuh sama sekali;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Layarnya retak kak;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Layar nya gk bisa di pencet; apa coba;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
belum ada seminggu barang udah rusak; wajar lah harga murah;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
CUMA COBA C.O ; PENJUAL TIKTOD BANYAK PENJUAL JAM AMPASS  ; 10 PROMAX ❌;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;
10 PRO ✔️;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Kenapa tampilan jamnya;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Tolong untuk direspon;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Yang di pesan mengecewakan yang di order tipe 10 pro max yang datang s 10pro max;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Saya belinya 10 pro max malah di kirim kan yang 10+;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Maaf pak/ibu saya mau konfirmasi ini jam yang saya beli tidak sesuai dengan yang ada di video saya pesannya yang buat simpan kartu tapi yang di kirim itu tidak sesuai sam...;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Itu di ulasan pembeli lain nya kok X 10 Pro Max;sedangkan punya saya yang datrng malah S10 Pro Max;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Kayaknya ini barang bekas kayak nya😭🥹🥹 kecewa deh;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Barang tidak sesuai krn pengaitnya hanya sebelah.ini gmn kak;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Barang rusak baru diberapa hari;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Ngak sesuai digambar bosku kulit jamnya kok dapat 1 sih dividio livenya kulit jamnya dapat 8 buah kol ini dapat 1 buah sih;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
gmna sih psenya 10pro max dkrimnya malah s10 pro max;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
"Toko tdk amanah di iklan katanya bisa pake krtu pas di trima boro"" pake kartu jam banyak mines";"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Pembohongan puplik sih ni iklan toko tdk layak dpt bintang;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Notif di hp tdk bisa masuk ke jamnya;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Tdk sesuai barang katanya ada tempat kartunya padahal gak ada;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Kurir nya tidak sopan simpan paket dibawah tanah;padahal  chat nya baru sekali masuk dan saya keluar tiba2 paketnya sudah disimpan dibawa tanah😡🤬🤬🤬🤬tidak sopan;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Tali nya kurang bagus gampang lepas2;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Katanya tahan banting masa ini blum apa apa udah le gini l;trus ini lagi gak sesuai warnanya;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Kenapa ngk mau menyala jam yang aku pesan;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
GK sesuai pesanan...pesen yg 10 pro max yg di kirim s10 pro max;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Pengembalian barang saajaa susah sekali .. minta di retur;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Tidak sesuai produk nya;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Tmpt kartu nya tidak ada;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Barang tidak sesuai dengan yg saya pesan; sya pesan yg pkek kartu; & pakek kamera;DTG yg pkek bluetooth; GK jls ni toko nya  👎👎👎👎👎👎👎👎👎👎; udh ke dua x ni say...;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;
Tidak sesuai deskripsi. Gesture tidak bisa. Padahal gesture ada di keterangan produk nya. Sekelas 100rban yg bermerek ada gesture nya.;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Sangat tidak memuaskan pelayanan tokoh nya juga tidak baik;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Perosuk tidak sesuai dengan iklan di iklan ada sikart ya dan pelaistor kok ini yang sampai gak ada  kecewa ²;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Kurang puas jadi aku kasi bintang 2.;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Masa tali jam tangan nya gini aja.;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Gk ada pengikat buat yang sisah nya.;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Sangat mengecewakan;; saya pesan yg pake kartu; yg datang tdk ada kartuNya;;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;
Bisa kah saya tukar lagi barangNya??;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
kok baru 2 hari saya pakai sudah rusak; bagaimana dong?;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Pesan ny x10 pro max yg datang datang s10 pro max;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Gk sesuai yg datang bukan x 10 promax tapi s10 promax;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Tali nya kok ancur kek gini ya;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
JD kecewa aku nya;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
